Geography,Violations ,2008,2009,2010,2011,2012
"Québec, Quebec",Total fail to stop or remain (46),994,939,806,799,1030
"Québec, Quebec",Driving while prohibited,98,92,88,63,70
"Québec, Quebec",Other Criminal Code traffic violations,3,2,3,1,3
"Québec, Quebec",Causing death by criminal negligence while street racing,,,0,0,0
"Québec, Quebec",Causing bodily harm by criminal negligence while street racing,,,0,0,0
"Québec, Quebec",Dangerous operation causing death while street racing,,,0,0,0
"Québec, Quebec",Dangerous operation causing bodily harm while street racing,,,0,0,0
"Québec, Quebec",Dangerous operation of motor vehicle while street racing,,,0,2,0
"Sherbrooke, Quebec (32,37)","Total, all violations",11071,11070,10420,9745,10034
"Sherbrooke, Quebec (32,37)",Total Criminal Code traffic violations,1703,1606,1575,1643,1552
"Sherbrooke, Quebec (32,37)",Total impaired driving (49),401,417,472,423,472
"Sherbrooke, Quebec (32,37)","Impaired operation, causing death",2,1,0,0,0
"Sherbrooke, Quebec (32,37)","Impaired operation (drugs), causing death",,,0,0,0
"Sherbrooke, Quebec (32,37)","Impaired operation, causing bodily harm",12,10,6,9,7
"Sherbrooke, Quebec (32,37)","Impaired operation (drugs), causing bodily harm",,,0,0,0
"Sherbrooke, Quebec (32,37)","Impaired operation of motor vehicle, vessel or aircraft (51)",382,394,449,401,447
"Sherbrooke, Quebec (32,37)","Impaired operation (drugs) vehicle, vessel, aircraft",,,8,5,8
"Sherbrooke, Quebec (32,37)","Impaired operation, failure to provide breath sample",5,12,9,8,10
"Sherbrooke, Quebec (32,37)",Failure to comply or refusal (drugs),,,0,0,0
"Sherbrooke, Quebec (32,37)","Impaired operation, failure to provide blood sample",0,0,0,0,0
"Sherbrooke, Quebec (32,37)",Failure to provide blood sample (drugs),,,0,0,0
"Sherbrooke, Quebec (32,37)",Total other Criminal Code traffic violations,1302,1189,1103,1220,1080
"Sherbrooke, Quebec (32,37)","Dangerous operation, causing death",0,1,0,0,0
"Sherbrooke, Quebec (32,37)","Dangerous operation, causing bodily harm",6,4,2,6,1
"Sherbrooke, Quebec (32,37)","Dangerous operation of motor vehicle, vessel or aircraft",24,21,17,18,7
"Sherbrooke, Quebec (32,37)","Dangerous operation evading police, causing death",0,0,0,0,0
"Sherbrooke, Quebec (32,37)","Dangerous operation evading police, causing bodily harm",0,0,0,1,0
